[2026-04-30 10:42:28] [INFO] Payment processing started for request: {"student_id":"14","amount":"11800","payment_mode":"online"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:28] [INFO] Payment validation passed for student 14. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:28] [INFO] Database transaction started for student 14 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:28] [INFO] Payment record created: ID 2521, Receipt: , Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:28] [INFO] Synchronized tbl_student_fee_allocation for student 14 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:28] [INFO] Attempting to enroll student 14 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:28] [INFO] Student 14 enrolled successfully. Enrollment ID: 2038 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:28] [INFO] Payment transaction log created for payment ID: 2521 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:28] [INFO] Payment transaction committed successfully for student 14. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:58] [INFO] Payment processing started for request: {"student_id":"141","amount":"11800","payment_mode":"online"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:58] [INFO] Payment validation passed for student 141. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:58] [INFO] Database transaction started for student 141 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:58] [INFO] Payment record created: ID 2522, Receipt: , Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:58] [INFO] Synchronized tbl_student_fee_allocation for student 141 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:58] [INFO] Attempting to enroll student 141 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:58] [INFO] Student 141 enrolled successfully. Enrollment ID: 2039 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:58] [INFO] Payment transaction log created for payment ID: 2522 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:42:58] [INFO] Payment transaction committed successfully for student 141. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:43:26] [INFO] Payment processing started for request: {"student_id":"653","amount":"11800","payment_mode":"online"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:43:26] [INFO] Payment validation passed for student 653. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:43:26] [INFO] Database transaction started for student 653 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:43:26] [INFO] Payment record created: ID 2523, Receipt: , Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:43:27] [INFO] Synchronized tbl_student_fee_allocation for student 653 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:43:27] [INFO] Attempting to enroll student 653 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:43:27] [INFO] Student 653 enrolled successfully. Enrollment ID: 2040 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:43:27] [INFO] Payment transaction log created for payment ID: 2523 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:43:27] [INFO] Payment transaction committed successfully for student 653. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:12] [INFO] Payment processing started for request: {"student_id":"53","amount":"11800","payment_mode":"online"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:12] [INFO] Payment validation passed for student 53. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:12] [INFO] Database transaction started for student 53 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:12] [INFO] Payment record created: ID 2524, Receipt: , Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:12] [INFO] Synchronized tbl_student_fee_allocation for student 53 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:12] [INFO] Attempting to enroll student 53 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:12] [INFO] Student 53 enrolled successfully. Enrollment ID: 2041 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:12] [INFO] Payment transaction log created for payment ID: 2524 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:12] [INFO] Payment transaction committed successfully for student 53. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:42] [INFO] Payment processing started for request: {"student_id":"106","amount":"11800","payment_mode":"online"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:42] [INFO] Payment validation passed for student 106. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:42] [INFO] Database transaction started for student 106 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:42] [INFO] Payment record created: ID 2525, Receipt: , Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:42] [INFO] Synchronized tbl_student_fee_allocation for student 106 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:42] [INFO] Attempting to enroll student 106 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:42] [INFO] Student 106 enrolled successfully. Enrollment ID: 2042 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:42] [INFO] Payment transaction log created for payment ID: 2525 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:44:42] [INFO] Payment transaction committed successfully for student 106. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:45:09] [INFO] Payment processing started for request: {"student_id":"618","amount":"11800","payment_mode":"online"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:45:09] [INFO] Payment validation passed for student 618. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:45:09] [INFO] Database transaction started for student 618 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:45:09] [INFO] Payment record created: ID 2526, Receipt: , Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:45:09] [INFO] Synchronized tbl_student_fee_allocation for student 618 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:45:09] [INFO] Attempting to enroll student 618 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-04-30 10:45:09] [INFO] Student 618 enrolled successfully. Enrollment ID: 2043 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
